?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBbi_00000584>	"Fluorophore derivative of rhodamine with ex/em 580/605"	
<http://purl.obolibrary.org/obo/FBbi_00000561>		
<http://purl.obolibrary.org/obo/FBbi_00000440>		
<http://purl.obolibrary.org/obo/FBbi_00000464>		
<http://purl.obolibrary.org/obo/FBbi_00000004>		
<http://purl.obolibrary.org/obo/FBbi_00000234>		
<http://purl.obolibrary.org/obo/FBbi_00000246>		
<http://purl.obolibrary.org/obo/FBbi_00000113>		
<http://purl.obolibrary.org/obo/FBbi_00000125>		
<http://purl.obolibrary.org/obo/FBbi_00000573>		
<http://purl.obolibrary.org/obo/FBbi_00000452>		
<http://purl.obolibrary.org/obo/FBbi_00000101>		
<http://purl.obolibrary.org/obo/FBbi_00000331>		
<http://purl.obolibrary.org/obo/FBbi_00000210>		
<http://purl.obolibrary.org/obo/FBbi_00000488>		
<http://purl.obolibrary.org/obo/FBbi_00000597>		
<http://purl.obolibrary.org/obo/FBbi_00000476>		
<http://purl.obolibrary.org/obo/FBbi_00000343>		
<http://purl.obolibrary.org/obo/FBbi_00000222>		
<http://purl.obolibrary.org/obo/FBbi_00100009>	"A visualization method that detects a yellow fluorescent protein tag."	
<http://purl.obolibrary.org/obo/FBbi_00001001>	"Radiography using X-rays"	
<http://purl.obolibrary.org/obo/FBbi_00000580>	"Electrons generated by inelastic scattering of other radiation, the primary radiation."	
<http://purl.obolibrary.org/obo/FBbi_00000379>		
<http://purl.obolibrary.org/obo/FBbi_00000028>		
<http://purl.obolibrary.org/obo/FBbi_00000258>		
<http://purl.obolibrary.org/obo/FBbi_00000369>	"A fluorescence microscopy method where the sample is illuminated from the side in a well-defined volume around the focal plane of the detection optics."	
<http://purl.obolibrary.org/obo/FBbi_00000137>		
<http://purl.obolibrary.org/obo/FBbi_00000149>		
<http://purl.obolibrary.org/obo/FBbi_00000016>		
<http://purl.obolibrary.org/obo/FBbi_00000286>	"Illumination by a single spot of light that is scanned across the field of view"	
<http://purl.obolibrary.org/obo/FBbi_00000330>		
<http://purl.obolibrary.org/obo/FBbi_00000572>		
<http://purl.obolibrary.org/obo/FBbi_00000451>		
<http://purl.obolibrary.org/obo/FBbi_00000560>		
<http://purl.obolibrary.org/obo/FBbi_00000015>		
